"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000000003",755.2,785.05,949,564.5,591.05,486.49,266.26,175,259,756,786.01,824,588.96,583.94,298.01,339,804,411.34
"ENSG00000000005",2,1,2,0,0,0,3,2,0,1,0,0,1,1,0,0,0,0
"ENSG00000000419",79.01,93,111.02,93,126,73,47,24,40,81,77,89.36,161,145.03,78,65,73,59
"ENSG00000000457",68,86.02,138.46,120,115.38,102,44,37.95,21,145,176.44,155.07,198,141.98,84,64.39,89.28,84.98
"ENSG00000000460",11,15,11,3,14,7,13,8.38,0,10,15,16,14.8,15,5,8,15,11
"ENSG00000000938",4,9,5,5,7,9,10,3,7,1,0,2,31,68,29,21,10,16
"ENSG00000000971",3431.66,4225.64,5295.27,7815.43,5976.64,5267.74,1406.36,1098.66,1284.08,9460.71,9532.77,9899.4,8454.8,7566.94,3619.14,4316.35,5184.17,4624.85
"ENSG00000001036",179.06,223.55,284.43,398.99,369,318,87,76,47,331.32,408.79,454,292.02,321,169,303.01,255,216
"ENSG00000001084",291.77,329.04,408.63,599.88,752.77,598.21,118,78,109,505.99,603.76,569.98,670.01,612.4,343.65,546.98,557.95,492.03
"ENSG00000001167",124.99,163.25,171.99,168.97,189,134,66,49,45,181,232,216,201,204.49,107.99,126,135.85,126
"ENSG00000001460",19,18,20,17.07,18.99,23,19,15,11,22,18,19,15.18,31,12,10,27,15
"ENSG00000001461",77,84.91,117,135.97,125.7,95.92,43,30,31,111.97,104,114,101,116,73,44,65,50.33
"ENSG00000001497",104,148,188.51,193.03,230,184.28,95.41,65,71,155,173,178,218,279,161,178.93,173,155.81
"ENSG00000001561",45,48.99,72,78,81.19,54.04,22,22,14,99.97,88,109,78.62,46,49,52,53,62
"ENSG00000001617",2,1,0,2,0,1,5,4,2,1,0,0,6,1,1,4,5,4
"ENSG00000001626",17,8,16,3,5,1,7,15,8,24.54,13,2,9,11,1,7,4,5
"ENSG00000001629",154.99,218.72,249.84,253.66,316,232.57,73,40,50.12,273,275,284,275,235.18,140,175,218,150.99
"ENSG00000001630",991.43,937.96,1265.62,920.46,967.48,815.72,406.07,303.59,449.83,1447.35,1425.98,1504.57,2803.1,2125.02,1124.96,877.53,1027.15,887.9
"ENSG00000001631",163.07,179.79,121.27,125.33,122.53,118.28,70.15,29.46,77,183.44,216.66,207.13,196.67,216.81,113.36,130.67,124.93,100.84
"ENSG00000002016",15.52,31.29,25.99,31,21.17,23,19.55,13.01,8,23,31,31,34,38.29,36,21,17,22
"ENSG00000002330",4,9,14,44,32,51,5,8,6,30,38,34,88,101,50,49.77,25,22
"ENSG00000002549",159.71,222.3,312.53,318.89,296.62,242.37,94.76,64.84,58.51,288.8,331.1,362.87,417.71,392.79,246.57,215.37,194.32,160.08
"ENSG00000002586",221,282.85,378.03,513.27,489.24,503,153,101,62,403,518.08,538.01,484.63,523,319,308,304,261
"ENSG00000002587",6,4,1,0,1,1,7,11,7,0,1,1,6,3,0,2,0,0
"ENSG00000002726",4,3,0,1,1,2,14,5,1,1,3,0,3,5,1,3,0,0
"ENSG00000002745",2,3,2,0,1,0,6,7,1,0,0,0,1,3,2,0,0,0
"ENSG00000002746",14,4,8,0,2,0,19,15,18,3,2,3,10,9,7,4,0,1
"ENSG00000002822",18,32,39,62,81.78,74.66,27.98,8,16,57,53,56,100.38,132,78,72,101,70
"ENSG00000002834",253.99,425.02,488,1162.12,1362.14,1364.46,131,100.01,115,1086.93,1263.6,1238.31,1497.39,1464.2,996.64,1750.96,1719.05,1538.37
"ENSG00000002919",13.99,19,26,29,35,27,14,6,26,19,30,32.99,40,30,16,27,16,16
"ENSG00000002933",95.48,197.24,267.34,460.57,296.71,325,60,64,47,236.97,358.01,355,524.71,562.03,305.01,188.13,128,140
"ENSG00000003056",346.81,369.05,555.25,398.82,483.53,341.99,188.8,125.2,138,350,341,370,423,457,203.44,296,304,268
"ENSG00000003096",40.4,56,62.87,50.06,45,29,19,14,2,33.26,27,34.96,55,56,14.2,20,31,27
"ENSG00000003137",6,3,3,1,2,0,1.9,2,2,0,0,1,4,5,5,2,0,0
"ENSG00000003147",160,172.68,240.07,127.36,154.55,122,54,46.96,65,181,158.74,178.05,354.54,263.95,154,93.73,132,110.84
"ENSG00000003249",16,32,46.97,86,83.55,88,13,7,1,39,71,45,324,336.97,283.65,137,117,97
"ENSG00000003393",219.97,281,390,328.13,353.52,302.74,126,94.03,82,356.91,442.38,450,440.01,384.11,227,224,204.91,198.01
"ENSG00000003400",20,30,45,54.18,51,40,24,25.07,9,37,62,54,86,59,43,34,35.03,29
"ENSG00000003402",239.5,329.43,401.67,537.85,596.14,511.73,188.57,111.9,81,593,682.31,633.5,944.28,771.49,500.69,492.02,494.34,440.26
"ENSG00000003436",972.08,1044.53,1147.7,2509.11,3335.51,2716.98,376.2,304.33,409,3308.41,3436.26,3135.5,1683.92,1489.21,803.46,1994.87,2237.45,2320.43
"ENSG00000003509",68,73.97,86,85,97.97,79,43,30,33,94,89.87,104,125.99,74.15,67,77,83,54
"ENSG00000003756",419.93,511.18,715.82,531.83,630.71,539.61,244.4,175.92,187.67,557.66,629.18,712.19,842.86,925.33,547.2,440.29,588.74,417.32
"ENSG00000003987",4,1,3,1,1,1,12,7,12,1,2,1,2,4,1,3,1,2
"ENSG00000003989",390.89,427.97,603.85,1276.85,819.3,838,111,124.85,95,1532.63,1798.62,1403.2,1147.96,967.05,531.93,502.97,559,519.75
"ENSG00000004059",21,55.96,89,94,70,58.01,25,19,11,64,69,102,131.95,148.89,111,71.7,61,62.98
"ENSG00000004139",7,9,13,15.52,13.42,14,12.89,14,19,13,25.94,16,42,34.55,26.99,20,12,15.31
"ENSG00000004142",76,177,228,333.37,333,320,78.59,40,25,233,328,334.93,334.01,331,227,276,216,196
"ENSG00000004399",21,21,32,43,35.5,44,19,13,22,22,28,32,128.98,179.41,92,128.78,65,67.89
"ENSG00000004455",253.3,364.2,476.03,529.93,554.04,430.56,151.19,122.55,68.99,325.87,413.77,411.46,565,461.86,295.23,350.44,304.31,274.53
"ENSG00000004468",5,6,1,6,2,2,6,4,0,0,4,3,3,0,2,1,0,3
"ENSG00000004478",202.45,377.58,474.26,652.28,732.74,727.32,141.26,98.52,137.72,617.56,640.96,684.62,494.55,481.01,309.92,474.35,618.23,413.87
"ENSG00000004487",97,171,230,255.2,281.28,229.02,86,41,63,244.97,270,232.01,294.89,280,189,241,221.87,165
"ENSG00000004534",405.08,550.79,706.29,536.54,512.14,504.44,227.87,177.3,146.4,563.18,565.97,672.81,997.15,876.67,571.25,362.61,532.85,373.68
"ENSG00000004660",11,1,2,0,0,2,19.2,15,3,1,6,1,5,10,4,3,5,3
"ENSG00000004700",129.55,143.27,201,170.9,207.12,192.97,49,37,37.94,244.5,232.87,268.67,202.23,168.72,91,141,130.89,160
"ENSG00000004766",119,135.48,164,137.18,156,121.04,58.05,41,33,166,184,172.9,148,112,81.95,76,95,92
"ENSG00000004776",6,3,3,4,3,4,6,5,8,1,0,2,14,7,3,3,3,4
"ENSG00000004777",4,1,3,5,2,6.84,5,7,1,5,3,3,29,24,18,6,2,4
"ENSG00000004779",88,132,161,194,226,227,61,46,44.07,188,226,217.97,239.07,260,108.92,131,110.99,110
"ENSG00000004799",252,157,237,84,114,66.33,156,130.98,179,87,103,97,523,406.35,249,59,60,68
"ENSG00000004809",4,0,1,0,0,0,7,5,0,0,0,1,2,4,1,1,1,0
"ENSG00000004838",2,1,0,1,1,0,2,1,2,0,0,0,3,7,3,0,0,1
"ENSG00000004846",6,1,10,1,2,1,11,10,7,0,1,2,41,45.95,25,24.98,5,17
"ENSG00000004848",0,1,2,1,0,0,5,5,2,1,0,0,9,6,0,0,0,0
"ENSG00000004864",229.19,310.95,429.19,395.99,478,335.07,107.45,83,56,388.95,483.97,471.01,664,515.97,297,288.93,190,208
"ENSG00000004866",68,81.12,125,141.02,140.39,88.74,42,28.4,29,94,120.27,139.85,148.22,121,61,68,58,70
"ENSG00000004897",199.96,249,311.81,301.5,379.13,243.06,112.11,81.7,80.35,348.37,374,353.82,293.2,210.03,132.08,195.13,206.23,249.38
"ENSG00000004939",0,5.86,5,2,1,1,15,7,2,2,0,0,1.84,6.95,4,1,2,3
"ENSG00000004948",1,0,0,0,0,0,6,11,9,0,0,0,0,9,0,3,0,1
"ENSG00000004961",79.99,97,134,123.67,157,147.59,46,43.29,17,117,120,119.72,118,85.08,71,101.49,125,89
"ENSG00000004975",8,21,16,23.12,15,22,10,6,0,16,25,20.03,69,93,37,21,28,15
"ENSG00000005001",1,1,0,0,1,0,2,2,0,0,0,0,2,4,0,2,0,0
"ENSG00000005007",37,74,79,123,149.87,140,37,18,8,113,143,133,211,225,169.79,144,108.39,109
"ENSG00000005020",73,70,107.99,60,89,57,24.83,40,33,56,60,45,96.98,56.96,51.03,85,62,62
"ENSG00000005022",264.62,357.92,489.33,566.86,633.67,618.42,159.11,118.4,72.96,372.88,466.16,484.34,443.02,513.06,257.54,459.05,297.52,312.76
"ENSG00000005059",9,13,14,6,11,15,8,3,5,7,6,6,15,11,6,11,5,5
"ENSG00000005073",1,1,0,0,0,0,1,5,0,0,0,0,2,1,1,0,1,0
"ENSG00000005075",84.06,140.42,160.64,157.17,206.63,182.27,65.64,40.93,24.03,164.04,179.83,138.05,208.46,258.3,131.17,147.25,131.79,114.56
"ENSG00000005100",40.95,62,92,84,83.78,77,19.53,34,31,61,59,69.97,111,77,67.96,76.32,54,46.24
"ENSG00000005102",4,2,2,0,0,0,1,3,0,0,0,0,1,2,0,0,0,1
"ENSG00000005108",72,99,140,75,59.82,75.82,41.52,30,22,136.99,158,166.99,44,45,34,61,51,53
"ENSG00000005156",54.03,78.05,88,85.99,98.06,65.95,47,40.01,19,88.01,82.06,91,101.87,81.38,89.02,89.02,73.02,78.03
"ENSG00000005175",167,164,185.09,178,237,135.52,60,46,71,224,236,198.03,211,172.59,106,125.99,162,148
"ENSG00000005187",67,56,100,98,60,65,32.31,24.01,15,68,82,89,97.01,66.02,42,45,35,33
"ENSG00000005189",10.98,12,11,10,17,12,12,11,8.94,14,14,22,32,16.91,3.92,12,11,9
"ENSG00000005194",55.19,68.97,152.96,108.27,110.97,72.41,34.71,25.01,14,85.02,94.08,97.09,107.69,110.38,68.97,64.93,68,53.91
"ENSG00000005206",9.98,11.48,10.38,18,23.99,22,13,6,5,24,30,25,62.89,64,69,44.68,34,33
"ENSG00000005238",11,11,19.05,50,40,47.99,6,10.99,9,17,39,33,36,38,25,51.82,37,34
"ENSG00000005243",13.91,27,43,65,59.01,65,27,19,13,48.94,60.78,69,66,66.66,34,35,44,32
"ENSG00000005249",1,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,1,8
"ENSG00000005302",102.69,106.63,143.56,113.75,129.16,86.07,55.06,49,29,138.99,120.66,157.02,172.75,131.06,84.05,81.74,89,77.09
"ENSG00000005339",195.99,228.1,279.53,358.24,251.06,307.52,80.64,65.24,55.03,338.02,382.46,364.47,717.32,768.41,519.05,302.56,322.72,319.65
"ENSG00000005379",9.05,8.91,9,2,2,4,24.46,18,5,7,13,3,46.87,38,42,3.02,8,3
"ENSG00000005381",1,7,3,1,2,0,5,4,5,2,4,0,3,1,2,0,1,1.01
"ENSG00000005421",324.95,411.01,594.24,979.99,695.54,554.56,93,106,78,836.07,1032.98,1090,856.09,723.89,439.9,337,364,253
"ENSG00000005436",69,83,105.02,103.99,118,99.79,29,17,32,140,136.03,112,131,109,57.99,68,71,95
"ENSG00000005448",2,6,9,3,2.94,2,8,6,4,4,4,5,3,2,4,2,1,0
"ENSG00000005469",227,297,298,284,321.99,236.99,80,63,45,354.78,342,322.96,151.01,157,97,204,389,256
"ENSG00000005471",237.53,282.95,331.1,172,150.65,161.55,107.01,82.65,68.22,219.62,292.35,271.97,2383.41,2340.56,1148.05,108.9,151.55,112.87
"ENSG00000005483",393.15,412,519.98,326.94,357.08,281.35,110,129.98,184,410,412,408.08,705.47,683.56,349.99,226,379,279
"ENSG00000005486",15,44,46,106,85.88,91,8,12,5,73,114,117,142,109,84,103,64,49
"ENSG00000005513",4,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,2,1
"ENSG00000005700",452.58,519.02,674.28,596.79,703.35,535.66,188,150,187,723.89,751.23,823.47,828.84,728.02,417,598.96,678.99,621.63
"ENSG00000005801",125.97,139.01,133,80,99.02,80.19,52,35,31,121,138.02,118.89,116.93,111,68,74.99,92,74
"ENSG00000005810",395.97,506.51,642.77,650.5,845.25,657.51,231,167,181,793,801.99,802.02,737.95,696.01,384.96,584,553,507
"ENSG00000005812",166,160.59,192.98,161.36,181.21,132.44,60,37,44,189,201,184.37,269.25,211,113.01,100,172.99,109
"ENSG00000005844",16,15,28.32,13,17,15.91,28.05,13,12,19.8,22,24,76,53,32,15,5,18
"ENSG00000005882",20,30,58,79.38,35,64,21,14,8,47,78,69.23,106,107,67,47,43,38
"ENSG00000005884",25.02,41,41.11,315.24,580.58,545.79,24.99,17,8,114,98,99,99,140,88,403.81,412,355
"ENSG00000005889",378.98,471.38,616.12,513.63,563.47,407,161,96.73,134,542.43,541.4,604.05,600.41,554.33,302.99,355.97,431,270
"ENSG00000005893",1208.24,1522.96,1899.2,1286.47,1152.94,852.73,512,354.55,375,1268.76,1475.06,1356.72,2765.59,2302.97,1219.91,682.89,929.48,694.88
"ENSG00000005961",1,3,2,0,0,0,4,7,2,0,0,2,2,5,1,1,0,1
"ENSG00000005981",0,0,1,4,2,1,4,1,1,1,4,1,0,4,3,3,0,0
"ENSG00000006007",106.99,108,124.15,187.86,222.19,166.94,41,46,28,141,167.82,174,155.01,110,69,110,107,129
"ENSG00000006015",10,8,14,28,28.12,19,13,5,3,14,26,17,73.98,64.44,32,28,25,24
"ENSG00000006016",4,1,0,0,0,0,5,2,2,0,0,0,3,3,6,2,0,0
"ENSG00000006025",8,1,2,1,2,1,2,0,3,4,2,1,9,3,2,5,5,5
"ENSG00000006042",42,57,71,67,62.99,44,27.61,18,12,53,60,48,31,38,27.99,33,18,22
"ENSG00000006047",1,2,3,0,1,1,8.16,1,0,1,4,0,8.1,6,3,0,1,5
"ENSG00000006059",0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0
"ENSG00000006062",14,20,14,28,30.96,35.06,25,15,8,21,30,20,71.06,69,33,51.01,27,36.87
"ENSG00000006071",8,5,4,2,0,0,12,18,4,0,0,0,7,5,2,0,0,1
"ENSG00000006116",1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0
"ENSG00000006118",13,27,27,33,30,37.92,17,12,4,8,6,4,18,30,16,19.99,30.93,17
"ENSG00000006125",320.97,453.84,534.34,609.12,628.13,467.52,186.17,146.15,170.82,459,484.7,597.8,528,433.59,256.79,465.51,385.99,415.98
"ENSG00000006128",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000006194",33,45,66.49,90.96,65,93,23,18,8,63,75,82,136,143,97.05,72,80,62
"ENSG00000006210",30.04,66,72,80.01,72,106.99,26,25,7.1,43.14,51,64.38,117,176.56,133,98,98,86
"ENSG00000006282",20,35,42,84,76.01,91,19,12,11,90,94,92,117.07,148,101,140,97,97
"ENSG00000006283",2,3,5.06,1,1,3,12,3,3,0,0,0,6.04,7.04,0,5.04,0,1
"ENSG00000006327",40.8,54,80.01,141.17,155.54,138.03,35,14,19,99.79,167.35,124.97,371.78,405.07,270.68,187,218.01,151.07
"ENSG00000006377",5.04,3.04,4.18,1.01,0,0,8.48,13,6,0,0.99,2.1,6.02,2.01,1.03,0,0.98,0
"ENSG00000006432",44,59,76.94,96,92,89,43.96,23,18,60.99,71,80,132.92,115.03,74,87,74,43
"ENSG00000006451",250.97,259.17,374.6,442.73,659.2,494.77,150.64,107.23,171.58,373.84,290.06,292.46,308.75,289.06,185.1,343.75,618.45,419.33
"ENSG00000006453",241.01,312.57,419.9,636.36,616.94,525.91,108.12,89.97,130,655.63,679.03,680.54,629,533.53,366.14,514.65,642.98,478.38
"ENSG00000006459",93,109.98,136.89,138,107.18,119.24,64.65,47,41,168.98,181,167,214.97,178,81.79,61.46,113,74
"ENSG00000006468",104.03,111,123.56,104.12,79.03,73,29,32,25,173.29,152.95,157.77,84,58.86,31,32,45,47
"ENSG00000006530",47.44,73.83,109.51,62.61,82.56,87.98,37.78,17.97,15.57,53.76,44.87,87.09,91.36,74,50.42,74.73,57.21,69.1
"ENSG00000006534",9.95,7,12,10,17,28,11.17,6.8,7,8.88,11,14,27.96,31.85,29,33,24,19
"ENSG00000006555",6,7,19,28,33.82,31,13.96,11,2,24,26,27,48,41,38.76,51,49,29
"ENSG00000006576",57,43,72,44,57.98,48,29,21,10,77,72.33,87.29,85,67,32,54.53,41,47
"ENSG00000006606",1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,4,1
"ENSG00000006607",110.42,175.29,185,200.98,199.9,159.08,53,40.63,56,152.02,213.06,214,313.01,272.54,161.99,116,122.09,113
"ENSG00000006611",18,30,38,62,92,104,20,12,12,44,49,55,6,8,2,40,69,54
"ENSG00000006625",50.46,60.09,61.6,66.44,68.97,58.6,10.13,11.13,27.96,89.86,78.14,67.21,82.39,24.63,22.66,56.64,47.91,68.12
"ENSG00000006634",16.61,17.34,37,20.52,30.71,18.18,9.66,2,10.85,29.67,45,27.89,28.41,16.68,10,24,39,25
"ENSG00000006638",2,1,2,1,0.99,0,1,2,4,0,0,0,2.42,1,0,0,2,0
"ENSG00000006652",133.49,122.6,176.01,106.59,133.49,114.58,60.73,40.4,41,126,118.75,128.46,209.07,160.81,109.09,64.35,107,74.62
"ENSG00000006659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006695",66.73,59.47,53.6,67.7,73.82,58,39.79,21.34,25,52.65,76.82,79.74,69.85,75.39,29,61.45,47.25,48.75
"ENSG00000006704",14,20,25,49,37,41,10.97,7,4,12,23.54,28,58,71,36,42,28,32
"ENSG00000006712",138.44,237.48,281.89,342.17,322.39,379,76.01,68.11,87.91,351.84,312.18,384,340.91,376.61,217,239,323.01,230.83
"ENSG00000006715",314,405.12,484.08,348.56,400.44,323.48,175.96,95,106,388.97,345.72,368.72,543.66,486.01,308.42,257.28,245,246
"ENSG00000006740",8,9,8.96,9,2,4,17,20,14,8,3,2,9,11,7,9,2,12
"ENSG00000006744",96,190,257.15,293,344,264.25,92,58,43,225,283,298,308,327.59,203,247,233.02,238
"ENSG00000006747",4,3,0,1,1,2,10,8,15,0,0,1,13,11,3,1,2,0
"ENSG00000006756",55.01,95.97,130.37,180.44,136.7,116.1,35,26,34.84,142.02,166.49,166,323.33,240,166.3,152,126.75,93
"ENSG00000006757",51,75,98,75,60.11,52,25,29,15,69,95.98,69,133.88,133.19,67,61,57,37
"ENSG00000006788",4.28,4.43,4.54,0,0,0,14.15,16.27,6,0,0,0,11.04,12,3.21,2.59,0,4.2
"ENSG00000006831",319.93,473.9,686.82,846.73,718.35,666.87,149,144,126,680,834.14,876.42,1223.96,998.17,578.11,394,349,297.38
"ENSG00000006837",3.62,3.32,8.6,1.39,6,4.31,6,7.1,3,1.67,2.58,8.31,7.26,4.37,1.81,6.63,15.86,3.3
"ENSG00000007001",2,0,1,1,1,0,0,1,1,1,1,2,1,0,0,0,0,0
"ENSG00000007038",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007047",26,35,34.8,47,50.6,58,23.87,21,11,37.88,44,36.13,119.54,90,72,60.98,47,58
"ENSG00000007062",4,2,3,3,8,3,12,4,1,11,5,4,3,1,3,4,6,1
"ENSG00000007080",40,56,86.62,141.98,167.49,173.43,44,22,38,112,105,120,165,221.27,159,142,161,126
"ENSG00000007129",1,1,1,0,0,1,5,3,0,0,0,0,0,1,2,0,0,0
"ENSG00000007168",305.75,357.72,472.53,463.72,532.3,347.12,153.97,113.72,116.3,413.21,485.31,414.39,629.98,500.22,312.45,332.23,328.29,294.98
"ENSG00000007171",4,2,2,4,2,7,2,3.03,2,1,3,5,7,7,4,1.05,1.68,0
"ENSG00000007174",13,6,5,0,3,2,38.9,27,22,0,0,0,10,10,8,3,0,1
"ENSG00000007202",490.81,866.95,1003.95,1270.29,1312.28,1119.79,302,247,201,994.01,1078.47,1296.9,922.99,981.01,595.96,861.71,648.05,667.25
"ENSG00000007216",0,0,2,2,1,3,4,4,0,2,1,2,2,0,1,1,4,0
"ENSG00000007237",18,8,15,2,6,7,18,17,10,4,3,2,36,59,29,22,13,22
"ENSG00000007255",5,8,13,17,7,14,4,4,3,18,14,11,29,42,14,9,10,6
"ENSG00000007264",4,1,2,1,1,3,9,7,2,0,0,1,15,37,14,10,7,6
"ENSG00000007306",1,0,2,0,0,0,8.11,1,4,0,0,0,0,0,0,1,0,0
"ENSG00000007312",0,2,1,0,0,0,6,1,1,0,0,1,1,2,0,0,0,1
"ENSG00000007314",4,1,2,2,1,0,9,5,4,0,0,1,4,7,1,1,1,0
"ENSG00000007341",39,38,63.15,63,41.21,42.99,22,31.88,26,52,71,62.95,91,53,33,27,53,40
"ENSG00000007350",6,3,3,0,0,1,7,15,5,0,0,0,3,11,2,0,0,0
"ENSG00000007372",8,9.73,11,0,3,3,19.82,29,12,0,1.88,0,15.99,19,7.91,5,0,2
"ENSG00000007376",1,2,4,6.98,6,16,2,1,0,3,4,7,23,24,15,12,11,10
"ENSG00000007384",6,14.47,17,33,17,25.76,7,6,2,10,23,19.01,48.01,57,58,27,22,21
"ENSG00000007392",96,93.07,141.97,107,122,114.24,46,39,44,150.24,141.12,168,212.31,203,122.97,111.94,146,125
"ENSG00000007402",4,2,2,0,0,3,8,4,4,0,1,1,4.01,1,3,0,0,1
"ENSG00000007516",7,5,7,7,5,13,9,6,3,18,29,14,15,19,8,17,14,15
"ENSG00000007520",30,26,29,103.09,90,99,11,15,6,47,91,79,134,178,105,117,108,87
"ENSG00000007541",9,2,9,14.44,19,22,14,0.09,3,8,26,17,36,38.93,27,23.53,3.34,12.18
"ENSG00000007545",28.58,38,47.89,50.86,36.39,38.94,16.66,16,12.92,59.69,62,60.45,137.86,124.44,116,45,58.15,52
"ENSG00000007866",12,14,23.97,27,19,21,12,3,8,20,24,16.64,73.97,55,40,25,39,24
"ENSG00000007908",0,3,4,0,2,1,1,2,3,2,2,2,3,1,2,0,0,2
"ENSG00000007923",99,167.97,162.98,240.2,257.63,287.95,67,42,58.13,212,251,210.92,285.83,281.79,221.69,255,270,261
"ENSG00000007933",255.09,329.03,471.91,375,280.1,243.25,94,78,75,415,489.25,412.44,654.77,682.96,354.15,233,215,168
"ENSG00000007944",8,6,3,6,8,7,5,2,6,7,7,8,12,4,5,5,3,2
"ENSG00000007952",3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3
"ENSG00000007968",3,0,2,0,2,0,1,6,2,1,0,0,6,4,1,1,2,0
"ENSG00000008018",155,193,269,274.02,293.11,233.01,71,64.51,67,183,249,242,317,300,150,205,145,169.71
"ENSG00000008056",3,3,2,0,0,2,0,3,0,0,1,0,3,3,0,0,2,1
"ENSG00000008083",35.01,47,62.38,50.74,51.66,43,29.68,12.09,22,64,45,52,94,83.99,64,36,30.99,41
"ENSG00000008086",50.05,56,76,38,54,42,43.07,39,11,38.98,49,57,72.01,73,50,40,33,24
"ENSG00000008118",3,1,0,0,0,0,2,1,2,0,0,0,7,0,1,3,0,0
"ENSG00000008128",124.08,141.43,160.3,186.54,183.01,204.48,76.85,56.95,110.22,235.65,180,239.73,286.46,318.4,207.43,148.48,289.41,170.41
"ENSG00000008130",62,167,182,329.03,290.39,292,62.01,46,34,260.83,324.41,264,499.9,570,358,255.89,290,206
"ENSG00000008196",5,3,5,0,1,0,13,6,3,0,0,1,4,3,0,0,0,0
"ENSG00000008197",7,0,1,0,0,1,5,3,5,0,0,0,7,7,2,0,0,1
"ENSG00000008226",4,4,4,3,7,6,18,8,9,0,2,6,13,18,2,8,1,2
"ENSG00000008256",8,14,20,23.09,26,22,15,8,12,21,12,18,43.04,55,32,36,32,29
"ENSG00000008277",6,9,9,0,2,0,15,11,9,3,1,4,10,6,7,3,2,1
"ENSG00000008282",189,176,211,162.96,218.48,171.75,66,51,67,257,273,254,224,166.02,85,141,175,184
"ENSG00000008283",15,17,22,54.01,69,63,17,3,8,47,65,75.98,67.04,69,49,53,60,31
"ENSG00000008294",477.5,538,695.11,787.86,940,864.96,263.02,185,237.09,803,806.44,852.98,965.05,887.96,540.16,654.81,700.02,653.09
"ENSG00000008300",5,6,6,1,5,6,17,12,10,7,7,4,15,19,13,6,7,2
"ENSG00000008311",38,44,51.62,51,67,52,25,24,33,146.99,217.01,174.97,226,200,133.83,59,50,61
"ENSG00000008323",10,9,16.66,15,14,14.99,10,16,2,8,14,12,46,49,34,25,13,5
"ENSG00000008324",12,12,26,24,31,29,16,7,6,19,24,20,21,35,7,17.01,12,14
"ENSG00000008382",13.74,27.02,29.86,50.94,37,54,2,8,7,44,52,37,150.52,138,87.05,38.98,54,42
"ENSG00000008394",2852.9,3691.28,4904.59,3826.09,4447.85,3335.21,1425.97,1182.32,717,4077.38,5088.05,5019.87,5043.21,4149,2535.25,2087.14,2550.02,1852.89
"ENSG00000008405",31,57,68.31,55,57.02,46,25,8,9,53,51,56.12,102,92,43,39,44,46
"ENSG00000008438",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008441",39.61,52.81,69.71,74.78,50.43,74.66,19,18.4,13.08,52.05,115.45,44.48,191.28,153.31,122.31,73.94,84.4,59.08
"ENSG00000008513",123.51,189.92,208.52,324,383.87,355.01,89.88,76,57,305.04,377.59,368,477,488.88,289,273.59,206.84,227
"ENSG00000008516",2,4,4,1,0,0.99,2,7,0,0,1,0,3,4,1,1,0,0
"ENSG00000008517",649.55,1072.89,1370.74,1736.4,1714.58,1799.29,549.35,375.04,336.99,1055,1279,1213.41,1753.31,1857.19,1104.2,1515.67,1164.58,1129.97
"ENSG00000008710",28.22,36.3,43.94,115.64,80.07,94.27,20.28,12.07,11.59,59.87,119.24,95.11,279.83,274.36,254.43,97.75,73.28,72.99
"ENSG00000008735",13,11.9,19,19,23,24,8.97,12.64,6,7,18,6,29,33,16,21.82,15,15
"ENSG00000008838",24,52,70,108,87,97,28.98,22,23.42,67,99,70.82,142.01,162.59,134,104,62,86
"ENSG00000008853",17,18,38,27,29,28,24,20,20,22,29,29,100,98.5,71,34,33,45
"ENSG00000008869",103,149.89,171,144,140.32,127,64.98,41,50,196,179.88,187,199.17,195.04,113.73,101.62,85,103
"ENSG00000008952",1159.98,1212.78,1567.7,1691.23,1682.15,1476.61,473,333,495.59,1886.21,1775.31,1846.99,1785.28,1712.2,886.02,845.78,1639.84,1065.99
"ENSG00000008988",702.09,785.37,1149.68,1065.71,1075.49,956.06,411.53,286.33,229.92,926.38,1117.78,917.69,1309.2,1241.58,592.52,861.46,651.86,746.43
"ENSG00000009307",1721.62,2109.52,2773.4,2334.87,2874.32,2302.58,813.8,598.21,705.71,2283.97,2245.46,2284,2689.24,2428.67,1574.91,1709.78,2294.2,1667.9
"ENSG00000009335",272.04,323.69,457.21,599,637.11,552.99,127.77,98,129,455.07,533,585.49,617,595.73,393,459,494,447
"ENSG00000009413",330,393,509.22,255.44,268.88,241.5,136.72,118,117,424,405.44,406,616.94,460.76,265.37,201.83,210.72,181
"ENSG00000009694",82,71,103.92,136,132,70.98,54,42,28,125,183,172.99,246.96,205.06,135.57,118,75,95
"ENSG00000009709",1,2,6,0,0,0,13,9,1,0,0,0,3,2,0,2,0,0
