"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000119725",101,98,165,132.78,153.31,116.56,59.15,40,35,114.75,107.62,136.63,141.16,171.76,122,95.65,73,84.21
"ENSG00000119729",218.17,239.21,342.05,384.09,381.57,280.93,76.52,64,61.65,243.54,212.24,268.68,600.55,455.24,270.44,231.54,293.67,297.56
"ENSG00000119737",7,16.19,17.5,15,8,18.05,7,3,4,13,16,11.69,39.39,25.82,22,12,9,10.65
"ENSG00000119760",112,141,180.08,128.02,139.47,147,87,53,32,161.07,188.01,172.92,175,181,111,106,106,92
"ENSG00000119771",42,55,64,126.14,160,123.94,32,20,12,99,93.45,96,135.97,155.25,122,144.78,151,129.25
"ENSG00000119772",33,45,75,88,73.17,84.32,38,23,27,98,104.88,82,160.8,168,77,77,94,75
"ENSG00000119777",65,106,105,209,213.4,198.01,37,23,16,180,246.68,270.07,181,225.88,139,196,156,165
"ENSG00000119778",102,128,188,155.33,158.84,118,52,42.39,34,219.01,229,215.91,253.25,243.78,137,139,188,121
"ENSG00000119782",11,14,13,9.4,11.13,12.27,6,5,4.43,17.91,18,11,16,17,2.05,7,11,6
"ENSG00000119787",162,170.56,244,235.45,243.99,192.97,57,59.71,49,275,233.98,251.99,286.01,228,127,137,145,131
"ENSG00000119801",290.26,321,431.71,422.01,463.6,344,110.99,96.97,87,394,402.68,426,381.16,363,210,193.56,200,155.99
"ENSG00000119812",131,184.99,235,212.07,324.12,245,75.01,76,51,246.98,227.71,261.01,162.86,135.17,92,183,215,183
"ENSG00000119820",112.3,140.13,202.44,207.86,213.94,189.28,60.09,39.99,26,239,244.92,218.4,335.13,286.92,165.81,125.48,145,128.69
"ENSG00000119844",181,239,270.72,266.16,341.67,262.51,103,66,46,303.99,324,301.92,282,310.81,161,133.24,180,152
"ENSG00000119862",35,53,62,69.08,89.24,75,26,22,10,95,107,81,92.27,71.88,45,58,44,56
"ENSG00000119865",0,4,0,0,4,0,2,5,0,0,1,0,4,10,0,4,3,7
"ENSG00000119866",12,13,15.12,0,1.95,1,40.03,24.01,35,1,0,0,19,20,9,5.02,3,2.78
"ENSG00000119878",57,51,64,68,49,54,18,22.79,14,61,80,76,91,64,31,33.02,35,27
"ENSG00000119888",40.85,33.79,57.18,41.2,31.63,20.05,9.14,12.93,18,61.69,61.17,65.13,30.62,15.87,13.95,33.74,63.21,33.18
"ENSG00000119899",132.66,208,296.3,270,314,229,78,44,48,132,178,208.08,359.99,268,196,145,111.3,139
"ENSG00000119900",82.07,65,84.22,159.03,179,124.55,47.93,29,63,109,110,68,113.46,110,51,134,126,143
"ENSG00000119906",216,218,291.12,278.74,261.95,227.82,87.91,64,66,339.53,430.45,368,289,279,156.99,191.01,176.73,118
"ENSG00000119912",239,273.01,328.04,332.89,379.85,316.85,52,76.09,77,355.84,398.53,426,353.06,304,189,255,295,274.86
"ENSG00000119913",4,4,4,3,1,5,4,6,3,1,3,2,11,2,8,2,0,1
"ENSG00000119915",3,0,2,0,4,1,1,2,5,0,0,0,0,0,1,0,0,0
"ENSG00000119917",100,131,136,90.83,104,121.8,67,32.88,43,132,145.94,137.26,256.07,240.11,132.68,51,73,64
"ENSG00000119919",0,1,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0
"ENSG00000119922",204,265,328.79,138.35,117,152,69.09,54.34,67,212.14,217.06,131,421.94,265.96,141,43,59.1,49.01
"ENSG00000119927",2255.94,3217.92,4487.96,8072.63,4843.26,3560.25,813.46,515.68,566.96,3167.38,3076.87,2622.11,7383.49,5706.79,3052.8,931.87,1231.04,875.67
"ENSG00000119929",50,66,146.01,124,142.84,126.96,46.01,32,28,110.99,135,147,104.46,82.01,53,99,82,54.71
"ENSG00000119938",195,226,333.04,704.45,457.17,439.48,63.05,55,34,364.03,411.11,356.92,462.88,389,193,123,106,80
"ENSG00000119943",4,6,10,5.55,7,6,6,4,6,7,9.99,11.17,17,11,7,3,5,5.13
"ENSG00000119946",19,30.96,28,27,31,32,11,18,10,18,13,27,23.07,13,9,13,16,10
"ENSG00000119950",104,118,144.99,169.76,160,168.65,48,40,38,216.01,247.98,182.4,225,225.52,133.99,59,73,59
"ENSG00000119953",73,97,100.02,101.97,104.16,82,40,27,30,87,96.01,92.77,144,93,72,84.02,106,90
"ENSG00000119965",13,13,22,29,36,25,6,4.42,0,27,31,29,28.47,26.05,21,22,26,19
"ENSG00000119969",28,28.37,35.54,17.65,22.64,26,13,18,14,30.52,32,32.47,33,22.97,28,30.74,41,32
"ENSG00000119973",6,2,3,0,0,1,10,7,12,1,0,0,8,3,1,0,0,0
"ENSG00000119977",34,64.01,62,109,95,70,26,21.01,24,53,75,85,51,52,38,62,44,34
"ENSG00000119979",181.22,212.84,282.92,271.33,242.16,223.56,70.26,70.25,46.38,238.08,250.5,264.47,533.79,375.44,226.6,107.61,158.6,108.65
"ENSG00000119986",9,11,9,27,23,22,3.99,6,9,18,24,23,40,36,18,26,16,14
"ENSG00000120008",268,335.95,459.51,380.02,385.99,319.82,143.68,113.19,115,384.03,425.32,420.9,530.82,462.9,304.89,258,327,277
"ENSG00000120029",72,111,130.92,142.39,150.99,147,43,28,24,129.01,109,132,161.77,134.52,122,97.94,101,89
"ENSG00000120049",3,5,4,5,1,3,8,3,2,4,2,4,5,10,5,4,4,1
"ENSG00000120051",4,1,4,2,1,1,7,5,1,1,4,1,12,7,8,1,0,2
"ENSG00000120053",445.1,732.13,934.46,1348.55,1310.7,1174.87,293.51,237.97,124,1342.28,1654.49,1724.68,766.01,678,454.3,909.98,757.35,647.01
"ENSG00000120054",18,23,45,32.02,23.12,17,16,9,1,42,43,48,60,67,29,14,6,18
"ENSG00000120055",3,0,1,0,0,0,3,2,1,0,0,0,3,3,1,0,0,0
"ENSG00000120057",2,1,0,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0
"ENSG00000120063",730.07,740.95,1000.71,662.53,977.04,689.03,355.97,261.01,294,592.69,608.89,689.87,643.34,597.2,424.56,560.52,618.86,533.92
"ENSG00000120068",1,1,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0
"ENSG00000120071",242.04,297,379.5,291.21,294.23,239.83,158.04,120.92,105.93,292.45,340.73,342.93,552.95,554.54,345.85,242.35,223.42,224
"ENSG00000120075",1,0,1,0,1,0,2,3,0,0,0,0,4,2,2,0,0,0
"ENSG00000120088",1,2,2,0,0,0,3,4,0,0,0,0,3,1,1,0,0,1
"ENSG00000120093",5,7,8.71,1,1.95,2.01,13.29,19.71,5,0,1,0,9,4,5.85,1,2,2.71
"ENSG00000120094",0,1,0,0,0,0,3,3,4,0,0,0,3,2,0,0,0,0
"ENSG00000120129",75.89,122.03,159,225.04,286.52,265,31,26,42,249.01,255.97,226,428.98,498,291.63,287,261,228
"ENSG00000120137",956.12,957.4,1263.04,1097.28,1149.6,789.68,320.59,231.96,381.38,1089.83,1132.92,1112.13,1754.19,1441.85,944.59,627.37,924.56,747.99
"ENSG00000120149",2,3,2,0,0,0,1,7,1,0,0,0,5,2,0.69,0,0,0
"ENSG00000120156",2,1,1,0,0,2,2,4,0,0,0,1,2,1,3,0,8,3
"ENSG00000120158",165,199,250,310,383.1,348.65,52,92.99,49,375,396.17,364,325,226,148,350,237,298
"ENSG00000120159",112.12,104,142,139.28,110.07,87.05,59,27,39,224,215,168.97,240,185,114,79,111.03,95
"ENSG00000120160",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120162",67,76.99,102,66.65,92.52,91,40,19,41,45,44,43.05,67,65,39,35,29,46
"ENSG00000120210",1,0,1,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0
"ENSG00000120211",0,0,2,0,0,0,6,2,1,0,0,0,1,9,2,0,0,1
"ENSG00000120215",1.99,0,1,0,0,0,1,3,0,0,0,0,0,2,0,3,0,0
"ENSG00000120217",15,9,11,7,11,5,7,5,5,6,8,10,16,42.01,12,11,6,9
"ENSG00000120235",0,0,2,0,0,0,5,3,0,0,0,0,3,0,0,1,0,0
"ENSG00000120242",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000120251",9,5,4.02,0,0,0,9,15,9.05,0,0,0,4,4,1,3,0,2
"ENSG00000120253",46.54,30.29,41,62.58,60,41.02,20.71,13,4,53,57,47,58.98,56.97,28,62.91,35,33
"ENSG00000120254",46,56.67,68.99,71,91.5,65,22,17,13.76,48.82,56.65,70.01,75,77,62,65.47,70.57,75
"ENSG00000120256",39,63.25,72,72.59,80.99,73,25,22.98,13,58,88.4,77.99,124.88,146,79,52,81,56
